Location:,Skyway,
Type:,Trees,
Easting:,754212,
Northing:,4325899,
Surveyor:,J. Lund,
Time:,4/21/20 8:26,
Time Type:,AM,
Air Temp:,-2.2,
Hs:,115,
Ground:,"Smooth, thawed and muddy.",
Notes:,"Snowpack didn't totally freeze overnight, and liquid water concentrated @ ~90cm. Lots of pipes and lenses. Much more than in open. Feels colder in trees than in open.",
Wx:,"Warm, calm, mostly sunny.",
,,
Hs,Temperature,Notes
116,-4.4,
110,-3.3,
100,-0.2,
90,-0.2,
80,-0.2,
70,-0.3,
60,-0.4,
50,-0.4,
40,-0.4,
30,-0.4,
20,-0.3,
10,-0.3,
0,-0.2,
