site_name,site_id,date,time,depth_cm,temperature_C,latitude,longitude,northing,easting,utm_zone,geom
Grand Mesa,2C2,2020-01-31,09:00:00-06:00,87.0,-15.7,39.06295166406152,-108.21860251105457,4327445.0,740652.0,12,POINT (740652 4327445)
Grand Mesa,6C24,2020-01-31,13:55:00-06:00,112.0,-12.3,39.027807792023935,-108.17256824663058,4323667.0,744757.0,12,POINT (744757 4323667)
Grand Mesa,8C26,2020-01-31,12:53:00-06:00,78.0,-6.1,39.026765719987374,-108.17677930445056,4323540.0,744396.0,12,POINT (744396 4323540)
Grand Mesa,4C30,2020-01-31,11:00:00-06:00,104.0,-5.7,39.02402526558323,-108.17150635619186,4323250.0,744862.0,12,POINT (744862 4323250)
Grand Mesa,2N12,2020-01-31,09:05:00-06:00,99.0,-8.2,39.03479143296602,-108.19875359911221,4324372.0,742466.0,12,POINT (742466 4324372)
Grand Mesa,8S28,2020-01-31,14:30:00-06:00,114.0,-4.1,39.0194271630288,-108.16616944313225,4322754.0,745340.0,12,POINT (745340 4322754)
Grand Mesa,2C4,2020-01-31,10:05:00-06:00,88.0,-12.9,39.06200005398375,-108.2164789585717,4327345.0,740839.0,12,POINT (740839 4327345)
Grand Mesa,9N59,2020-01-28,09:40:00-06:00,113.0,-14.6,39.029614668388184,-108.13404521837332,4323972.0,748086.0,12,POINT (748086 4323972)
Grand Mesa,3N53,2020-01-28,15:31:00-06:00,110.0,-12.2,39.029341757299484,-108.1431116332092,4323917.0,747302.0,12,POINT (747302 4323917)
Grand Mesa,5N10,2020-01-28,15:05:00-06:00,85.0,-8.3,39.03312373866977,-108.19983597537372,4324184.0,742378.0,12,POINT (742378 4324184)
Grand Mesa,4N2,2020-01-28,09:15:00-06:00,76.0,-16.3,39.03647532347442,-108.22092378928305,4324500.0,740541.0,12,POINT (740541 4324500)
Grand Mesa,8N25,2020-01-28,15:47:00-06:00,100.0,-9.4,39.03486689806741,-108.18543202921943,4324416.0,743619.0,12,POINT (743619 4324416)
Grand Mesa,1N6,2020-01-28,13:20:00-06:00,92.0,-9.9,39.03595612650298,-108.20975076512158,4324472.0,741510.0,12,POINT (741510 4324472)
Grand Mesa,7N57,2020-01-28,12:49:00-06:00,70.0,-7.1,39.02956303496337,-108.13744308331366,4323957.0,747792.0,12,POINT (747792 4323957)
Grand Mesa,5N19,2020-01-28,11:27:00-06:00,102.0,-9.5,39.033574208734535,-108.19010375799387,4324260.0,743219.0,12,POINT (743219 4324260)
