# Location,Grand Mesa
# Site,1C5
# PitID,COGM1C5_20200212
# Date/Local Time,2020-02-12T11:26
# UTM Zone,12N
# Easting,740919
# Northing,4327334
# Top (cm),Bottom (cm),Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
75.0,65.0,231.5,1.295,1.295,0.0,0.0
65.0,55.0,329.0,1.591,1.591,0.5,0.5
55.0,45.0,306.0,1.616,1.616,0.8,0.8
45.0,35.0,278.0,1.511,1.511,0.5,0.5
35.0,25.0,344.0,1.463,1.463,0.0,0.0
25.0,15.0,328.5,1.562,1.562,0.3,0.3
15.0,5.0,NaN,1.419,1.419,nan,nan
