Location:,Skyway,
Type:,Open,
Easting:,754044,
Northing:,4325657,
Surveyor:,J. Lund,
Time:,3/6/20 17:05,
Time Type:,PM,
Air Temp:,0.9,
Hs:,89,
Ground:,"Grass, 10-15 cm. Snow crust, 10-15cm",
Notes:,"Definitely evidence of surface melt. 3rd day in a row temperatures are above freezing. Bottom 20 cm of snow is a crust, maybe melt freeze from early season? Top 2-3cm of snow looks wet. Slight SE slope 3-5 degrees.",
Wx:,,
,,
Hs,Temperature,Notes
89,-0.2,
80,-3.3,
70,-5,
60,-5.3,
50,-4.7,
40,-4,
30,-3,
20,-2.5,
10,-2.2,
0,-1.6,
