Location:,Mesa West,
Type:,Open,
Easting:,741146,
Northing:,4324202,
Surveyor:,J. Lund,
Time:,3/31/20 10:34,
Time Type:,AM,
Air Temp:,0,
Hs:,138,
Ground:,Rough. Shrubs ~35cm.,
Notes:,Temperature 10:34-10:45. Pit wall moistens as it opens to warm air.,
Wx:,"After a few days of snow and cold, it is sunny, calm, and warm.",
,,
Hs,Temperature,Notes
138,-3.9,
130,-7.2,
120,-5.9,
110,-3.7,
100,-3.1,
90,-2.8,
80,-2.6,
70,-2.4,
60,-2.2,
50,-1.9,
40,-1.7,
30,-1.5,
20,-1.2,
10,-1,
0,-0.6,
