Location:,Mesa West,
Type:,Trees,
Easting:,741178,
Northing:,4324063,
Surveyor:,J. Lund,
Time:,4/9/20 15:40,
Time Type:,PM,
Air Temp:,NA,
Hs:,134,
Ground:,"Deadfall, ~20cm. Rough.",
Notes:,This site is in the trees but gets afternoon sun.,
Wx:,"Wx changed during measurements. Winds increased, clouds came in.",
,,
Hs,Temperature,Notes
134,-0.2,
130,-0.2,
120,-0.2,
110,-0.2,
100,-0.3,
90,-0.3,
80,-0.4,
70,-0.5,
60,-0.5,
50,-0.5,
40,-0.4,
30,-0.4,
20,-0.3,
10,-0.3,
0,-0.1,
