Location:,Skyway,
Type:,Trees,
Easting:,756904,
Northing:,4324345,
Surveyor:,J. Lund,
Time:,4/18/20 13:17,
Time Type:,PM,
Air Temp:,-0.1,
Hs:,100,
Ground:,"Deadfall/branches, ~45cm",
Notes:,"Looks like water is collecting at old snow surface @93cm. Did a vertical permittivity @ snow surface: 1.612, 1.435",
Wx:,Warm! Calm. Mostly sunny.,
,,
Hs,Temperature,Notes
100,-0.2,
95,-0.2,
93,-0.3,
90,-1.5,
80,-2.9,
70,-3.1,
60,-2.7,
50,-2.3,
40,-2,
30,-1.7,
20,-1.4,
10,-1.1,
0,-0.6,
